,Experiment_ID,Algorithm,N,R,range_flag,type,seed,k,L,w,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
0,1,lsh,1,2000.0,false,protein,1,2,8,5.0,1.0,0.25,84.8877,0.0117803,0.00502706
1,2,lsh,1,2000.0,false,protein,1,2,8,7.0,1.0,0.25,73.9314,0.0135261,0.00503676
2,3,lsh,1,2000.0,false,protein,1,2,8,9.0,1.0,0.25,75.6454,0.0132196,0.0049476
3,4,lsh,1,2000.0,false,protein,1,2,8,10.0,1.0,0.25,71.935,0.0139014,0.00504754
4,5,lsh,1,2000.0,false,protein,1,2,10,5.0,1.0,0.25,78.9088,0.0126728,0.00496747
5,6,lsh,1,2000.0,false,protein,1,2,10,7.0,1.0,0.25,66.5663,0.0150226,0.00487199
6,7,lsh,1,2000.0,false,protein,1,2,10,9.0,1.0,0.25,67.2061,0.0148796,0.004939
7,8,lsh,1,2000.0,false,protein,1,2,10,10.0,1.0,0.25,65.2464,0.0153265,0.00478666
8,9,lsh,1,2000.0,false,protein,1,2,12,5.0,1.0,0.25,74.6211,0.013401,0.00489907
9,10,lsh,1,2000.0,false,protein,1,2,12,7.0,1.0,0.25,61.3901,0.0162893,0.00490088
10,11,lsh,1,2000.0,false,protein,1,2,12,9.0,1.0,0.25,61.0665,0.0163756,0.00486079
11,12,lsh,1,2000.0,false,protein,1,2,12,10.0,1.0,0.25,56.7132,0.0176326,0.00496098
12,13,lsh,1,2000.0,false,protein,1,2,14,5.0,1.0,0.25,68.5219,0.0145939,0.00484839
13,14,lsh,1,2000.0,false,protein,1,2,14,7.0,1.0,0.25,56.8992,0.0175749,0.00484405
14,15,lsh,1,2000.0,false,protein,1,2,14,9.0,1.0,0.25,55.4907,0.0180211,0.00493348
15,16,lsh,1,2000.0,false,protein,1,2,14,10.0,1.0,0.25,52.6531,0.0189922,0.00493672
16,17,lsh,1,2000.0,false,protein,1,4,8,5.0,1.0,0.25,97.2596,0.0102818,0.00482366
17,18,lsh,1,2000.0,false,protein,1,4,8,7.0,1.0,0.25,82.6609,0.0120976,0.00483179
18,19,lsh,1,2000.0,false,protein,1,4,8,9.0,1.0,0.25,85.3475,0.0117168,0.00485698
19,20,lsh,1,2000.0,false,protein,1,4,8,10.0,1.0,0.25,83.6452,0.0119553,0.00475652
20,21,lsh,1,2000.0,false,protein,1,4,10,5.0,1.0,0.25,87.2873,0.0114564,0.00492183
21,22,lsh,1,2000.0,false,protein,1,4,10,7.0,1.0,0.25,71.785,0.0139305,0.00490101
22,23,lsh,1,2000.0,false,protein,1,4,10,9.0,1.0,0.25,74.1195,0.0134917,0.00489599
23,24,lsh,1,2000.0,false,protein,1,4,10,10.0,1.0,0.25,72.1797,0.0138543,0.00487488
24,25,lsh,1,2000.0,false,protein,1,4,12,5.0,1.0,0.25,80.2753,0.0124571,0.00490107
25,26,lsh,1,2000.0,false,protein,1,4,12,7.0,1.0,0.25,66.3258,0.0150771,0.00501842
26,27,lsh,1,2000.0,false,protein,1,4,12,9.0,1.0,0.25,66.2893,0.0150854,0.0049407
27,28,lsh,1,2000.0,false,protein,1,4,12,10.0,1.0,0.25,63.1588,0.0158331,0.00494748
28,29,lsh,1,2000.0,false,protein,1,4,14,5.0,1.0,0.25,69.8843,0.0143094,0.00549682
29,30,lsh,1,2000.0,false,protein,1,4,14,7.0,1.0,0.25,60.2131,0.0166077,0.00534143
30,31,lsh,1,2000.0,false,protein,1,4,14,9.0,1.0,0.25,60.5526,0.0165146,0.00520985
31,32,lsh,1,2000.0,false,protein,1,4,14,10.0,1.0,0.25,59.3469,0.0168501,0.0050171
32,33,lsh,1,2000.0,false,protein,1,6,8,5.0,1.0,0.25,119.282,0.00838352,0.00495718
