,Experiment_ID,Algorithm,N,R,range_flag,type,seed,k,L,w,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
33,34,lsh,1,2000.0,false,protein,1,6,8,7.0,1.0,0.25,100.414,0.00995877,0.00497224
34,35,lsh,1,2000.0,false,protein,1,6,8,9.0,1.0,0.25,91.4896,0.0109302,0.00530601
35,36,lsh,1,2000.0,false,protein,1,6,8,10.0,1.0,0.25,93.1647,0.0107337,0.00498201
36,37,lsh,1,2000.0,false,protein,1,6,10,5.0,1.0,0.25,102.845,0.00972336,0.00509249
37,38,lsh,1,2000.0,false,protein,1,6,10,7.0,1.0,0.25,92.1904,0.0108471,0.00499367
38,39,lsh,1,2000.0,false,protein,1,6,10,9.0,1.0,0.25,86.5698,0.0115514,0.00506064
39,40,lsh,1,2000.0,false,protein,1,6,10,10.0,1.0,0.25,82.6893,0.0120935,0.00501965
40,41,lsh,1,2000.0,false,protein,1,6,12,5.0,1.0,0.25,96.3807,0.0103755,0.00502379
41,42,lsh,1,2000.0,false,protein,1,6,12,7.0,1.0,0.25,84.0099,0.0119034,0.00500808
42,43,lsh,1,2000.0,false,protein,1,6,12,9.0,1.0,0.25,79.7929,0.0125324,0.00508328
43,44,lsh,1,2000.0,false,protein,1,6,12,10.0,1.0,0.25,76.1988,0.0131236,0.00503121
44,45,lsh,1,2000.0,false,protein,1,6,14,5.0,1.0,0.25,92.4195,0.0108202,0.00497283
45,46,lsh,1,2000.0,false,protein,1,6,14,7.0,1.0,0.25,79.9098,0.0125141,0.00505135
46,47,lsh,1,2000.0,false,protein,1,6,14,9.0,1.0,0.25,73.9707,0.0135189,0.00527383
47,48,lsh,1,2000.0,false,protein,1,6,14,10.0,1.0,0.25,70.3686,0.0142109,0.00511048
48,49,lsh,1,2000.0,false,protein,1,8,8,5.0,1.0,0.25,130.537,0.00766069,0.00499168
49,50,lsh,1,2000.0,false,protein,1,8,8,7.0,1.0,0.25,102.259,0.00977909,0.00605817
50,51,lsh,1,2000.0,false,protein,1,8,8,9.0,1.00536,0.25,103.204,0.00968957,0.00506601
51,52,lsh,1,2000.0,false,protein,1,8,8,10.0,1.00536,0.25,101.44,0.00985809,0.00518682
52,53,lsh,1,2000.0,false,protein,1,8,10,5.0,1.0,0.25,114.566,0.00872862,0.0052132
53,54,lsh,1,2000.0,false,protein,1,8,10,7.0,1.0,0.25,102.966,0.00971192,0.00515013
54,55,lsh,1,2000.0,false,protein,1,8,10,9.0,1.00536,0.25,94.5311,0.0105785,0.00527448
55,56,lsh,1,2000.0,false,protein,1,8,10,10.0,1.00536,0.25,93.6608,0.0106768,0.00519292
56,57,lsh,1,2000.0,false,protein,1,8,12,5.0,1.0,0.25,101.527,0.00984957,0.00520426
57,58,lsh,1,2000.0,false,protein,1,8,12,7.0,1.0,0.25,95.7458,0.0104443,0.00524911
58,59,lsh,1,2000.0,false,protein,1,8,12,9.0,1.00232,0.25,87.3885,0.0114432,0.00519987
59,60,lsh,1,2000.0,false,protein,1,8,12,10.0,1.00232,0.25,86.5446,0.0115547,0.00524098
60,61,lsh,1,2000.0,false,protein,1,8,14,5.0,1.0,0.25,94.5333,0.0105783,0.00518063
61,62,lsh,1,2000.0,false,protein,1,8,14,7.0,1.0,0.25,88.5776,0.0112895,0.00512148
62,63,lsh,1,2000.0,false,protein,1,8,14,9.0,1.0,0.25,83.1255,0.01203,0.00522033
63,64,lsh,1,2000.0,false,protein,1,8,14,10.0,1.0,0.25,81.9048,0.0122093,0.00515339
64,65,lsh,5,2000.0,false,protein,1,2,8,5.0,1.0,0.216667,83.4778,0.0119792,0.00517447
65,66,lsh,5,2000.0,false,protein,1,2,8,7.0,1.0,0.216667,72.0963,0.0138703,0.00528041
66,67,lsh,5,2000.0,false,protein,1,2,8,9.0,1.0,0.216667,72.2842,0.0138343,0.00523981
67,68,lsh,5,2000.0,false,protein,1,2,8,10.0,1.0,0.216667,69.717,0.0143437,0.00520823
68,69,lsh,5,2000.0,false,protein,1,2,10,5.0,1.0,0.216667,76.6883,0.0130398,0.00533703
69,70,lsh,5,2000.0,false,protein,1,2,10,7.0,1.0,0.216667,65.3349,0.0153058,0.00520164
70,71,lsh,5,2000.0,false,protein,1,2,10,9.0,1.0,0.216667,66.8539,0.014958,0.00515753
71,72,lsh,5,2000.0,false,protein,1,2,10,10.0,1.0,0.216667,62.3794,0.0160309,0.00524102
72,73,lsh,5,2000.0,false,protein,1,2,12,5.0,1.0,0.216667,70.518,0.0141808,0.00535864
73,74,lsh,5,2000.0,false,protein,1,2,12,7.0,1.0,0.216667,59.6115,0.0167753,0.00538769
74,75,lsh,5,2000.0,false,protein,1,2,12,9.0,1.0,0.216667,59.2575,0.0168755,0.0052463
75,76,lsh,5,2000.0,false,protein,1,2,12,10.0,1.0,0.216667,56.1877,0.0177975,0.00516108
76,77,lsh,5,2000.0,false,protein,1,2,14,5.0,1.0,0.216667,66.8637,0.0149558,0.00516583
77,78,lsh,5,2000.0,false,protein,1,2,14,7.0,1.0,0.216667,56.0177,0.0178515,0.00537374
78,79,lsh,5,2000.0,false,protein,1,2,14,9.0,1.0,0.216667,53.7242,0.0186136,0.0053868
79,80,lsh,5,2000.0,false,protein,1,2,14,10.0,1.0,0.216667,51.6619,0.0193566,0.00525093
80,81,lsh,5,2000.0,false,protein,1,4,8,5.0,1.0,0.216667,94.6219,0.0105684,0.00516593
81,82,lsh,5,2000.0,false,protein,1,4,8,7.0,1.0,0.216667,80.9084,0.0123596,0.00517452
82,83,lsh,5,2000.0,false,protein,1,4,8,9.0,1.0,0.216667,82.8073,0.0120762,0.00525733
83,84,lsh,5,2000.0,false,protein,1,4,8,10.0,1.0,0.216667,81.419,0.0122821,0.00528234
84,85,lsh,5,2000.0,false,protein,1,4,10,5.0,1.0,0.216667,84.2805,0.0118651,0.0051889
85,86,lsh,5,2000.0,false,protein,1,4,10,7.0,1.0,0.216667,71.3318,0.014019,0.00525433
86,87,lsh,5,2000.0,false,protein,1,4,10,9.0,1.0,0.216667,71.365,0.0140125,0.00527425
87,88,lsh,5,2000.0,false,protein,1,4,10,10.0,1.0,0.216667,70.0986,0.0142656,0.0052246
88,89,lsh,5,2000.0,false,protein,1,4,12,5.0,1.0,0.216667,77.7858,0.0128558,0.00513324
89,90,lsh,5,2000.0,false,protein,1,4,12,7.0,1.0,0.216667,66.7999,0.0149701,0.00522102
90,91,lsh,5,2000.0,false,protein,1,4,12,9.0,1.0,0.216667,64.7638,0.0154407,0.00529874
91,92,lsh,5,2000.0,false,protein,1,4,12,10.0,1.0,0.216667,65.4799,0.0152719,0.00515322
92,93,lsh,5,2000.0,false,protein,1,4,14,5.0,1.0,0.216667,72.1496,0.0138601,0.00523773
93,94,lsh,5,2000.0,false,protein,1,4,14,7.0,1.0,0.216667,60.8547,0.0164326,0.00522629
94,95,lsh,5,2000.0,false,protein,1,4,14,9.0,1.0,0.216667,60.1472,0.0166259,0.00517282
95,96,lsh,5,2000.0,false,protein,1,4,14,10.0,1.0,0.216667,57.9932,0.0172434,0.00525883
96,97,lsh,5,2000.0,false,protein,1,6,8,5.0,1.0,0.216667,109.59,0.00912496,0.00544421
97,98,lsh,5,2000.0,false,protein,1,6,8,7.0,1.0,0.216667,98.4965,0.0101526,0.00516258
98,99,lsh,5,2000.0,false,protein,1,6,8,9.0,1.0,0.216667,95.8409,0.010434,0.00515039
99,100,lsh,5,2000.0,false,protein,1,6,8,10.0,1.0,0.216667,91.6506,0.010911,0.00519793
100,101,lsh,5,2000.0,false,protein,1,6,10,5.0,1.0,0.216667,102.85,0.00972288,0.00520982
101,102,lsh,5,2000.0,false,protein,1,6,10,7.0,1.0,0.216667,87.917,0.0113744,0.00528035
102,103,lsh,5,2000.0,false,protein,1,6,10,9.0,1.0,0.216667,86.6703,0.011538,0.00529057
103,104,lsh,5,2000.0,false,protein,1,6,10,10.0,1.0,0.216667,82.2109,0.0121638,0.00514786
104,105,lsh,5,2000.0,false,protein,1,6,12,5.0,1.0,0.216667,94.485,0.0105837,0.00527323
105,106,lsh,5,2000.0,false,protein,1,6,12,7.0,1.0,0.216667,82.4269,0.012132,0.00529126
106,107,lsh,5,2000.0,false,protein,1,6,12,9.0,1.0,0.216667,77.706,0.012869,0.00526435
107,108,lsh,5,2000.0,false,protein,1,6,12,10.0,1.0,0.216667,74.3482,0.0134502,0.00523831
108,109,lsh,5,2000.0,false,protein,1,6,14,5.0,1.0,0.216667,90.0458,0.0111055,0.00525263
109,110,lsh,5,2000.0,false,protein,1,6,14,7.0,1.0,0.216667,75.1787,0.0133016,0.00542149
110,111,lsh,5,2000.0,false,protein,1,6,14,9.0,1.0,0.216667,65.6171,0.0152399,0.00573639
111,112,lsh,5,2000.0,false,protein,1,6,14,10.0,1.0,0.216667,69.9905,0.0142877,0.0054341
112,113,lsh,5,2000.0,false,protein,1,8,8,5.0,1.0,0.188889,103.516,0.0096603,0.00773143
113,114,lsh,5,2000.0,false,protein,1,8,8,7.0,1.0,0.216667,94.0324,0.0106346,0.00668315
114,115,lsh,5,2000.0,false,protein,1,8,8,9.0,1.00536,0.216667,91.3732,0.0109441,0.00599231
115,116,lsh,5,2000.0,false,protein,1,8,8,10.0,1.00536,0.216667,93.0435,0.0107477,0.0060285
116,117,lsh,5,2000.0,false,protein,1,8,10,5.0,1.0,0.188889,113.798,0.00878747,0.00524481
117,118,lsh,5,2000.0,false,protein,1,8,10,7.0,1.0,0.216667,102.679,0.00973909,0.00521519
118,119,lsh,5,2000.0,false,protein,1,8,10,9.0,1.00536,0.216667,84.1469,0.011884,0.00584521
119,120,lsh,5,2000.0,false,protein,1,8,10,10.0,1.00536,0.216667,76.6328,0.0130492,0.00807992
120,121,lsh,5,2000.0,false,protein,1,8,12,5.0,1.0,0.188889,94.0275,0.0106352,0.0060149
121,122,lsh,5,2000.0,false,protein,1,8,12,7.0,1.0,0.216667,80.0259,0.012496,0.00768384
122,123,lsh,5,2000.0,false,protein,1,8,12,9.0,1.00232,0.216667,74.8557,0.013359,0.006069
123,124,lsh,5,2000.0,false,protein,1,8,12,10.0,1.00232,0.216667,67.4776,0.0148197,0.00832545
124,125,lsh,5,2000.0,false,protein,1,8,14,5.0,1.0,0.188889,90.2884,0.0110756,0.00570773
125,126,lsh,5,2000.0,false,protein,1,8,14,7.0,1.0,0.216667,87.1081,0.01148,0.00523986
126,127,lsh,5,2000.0,false,protein,1,8,14,9.0,1.0,0.216667,81.5998,0.0122549,0.00531853
127,128,lsh,5,2000.0,false,protein,1,8,14,10.0,1.0,0.216667,80.6762,0.0123952,0.00528567
128,129,lsh,20,2000.0,false,protein,1,2,8,5.0,1.0,0.326705,82.6615,0.0120975,0.00526302
129,130,lsh,20,2000.0,false,protein,1,2,8,7.0,1.0,0.335038,72.2902,0.0138331,0.00576925
130,131,lsh,20,2000.0,false,protein,1,2,8,9.0,1.0,0.335038,73.0283,0.0136933,0.00525764
131,132,lsh,20,2000.0,false,protein,1,2,8,10.0,1.0,0.335038,68.7822,0.0145387,0.00555488
132,133,lsh,20,2000.0,false,protein,1,2,10,5.0,1.0,0.335038,69.8086,0.0143249,0.00631833
133,134,lsh,20,2000.0,false,protein,1,2,10,7.0,1.0,0.335038,65.8734,0.0151806,0.00525958
134,135,lsh,20,2000.0,false,protein,1,2,10,9.0,1.0,0.335038,65.5842,0.0152476,0.00546755
135,136,lsh,20,2000.0,false,protein,1,2,10,10.0,1.0,0.335038,53.5372,0.0186786,0.00651158
136,137,lsh,20,2000.0,false,protein,1,2,12,5.0,1.0,0.335038,56.8495,0.0175903,0.00814806
137,138,lsh,20,2000.0,false,protein,1,2,12,7.0,1.0,0.335038,50.1659,0.0199339,0.00729673
138,139,lsh,20,2000.0,false,protein,1,2,12,9.0,1.0,0.335038,47.8942,0.0208793,0.00659267
139,140,lsh,20,2000.0,false,protein,1,2,12,10.0,1.0,0.335038,55.41,0.0180473,0.00540921
140,141,lsh,20,2000.0,false,protein,1,2,14,5.0,1.0,0.335038,65.4582,0.0152769,0.00544485
141,142,lsh,20,2000.0,false,protein,1,2,14,7.0,1.0,0.335038,56.0211,0.0178504,0.00531731
142,143,lsh,20,2000.0,false,protein,1,2,14,9.0,1.0,0.335038,54.1926,0.0184527,0.00537079
143,144,lsh,20,2000.0,false,protein,1,2,14,10.0,1.0,0.335038,51.0916,0.0195727,0.00536576
144,145,lsh,20,2000.0,false,protein,1,4,8,5.0,1.0,0.335038,92.3281,0.0108309,0.00531734
145,146,lsh,20,2000.0,false,protein,1,4,8,7.0,1.0,0.335038,79.6396,0.0125566,0.00531341
146,147,lsh,20,2000.0,false,protein,1,4,8,9.0,1.0,0.335038,83.5035,0.0119756,0.00522014
147,148,lsh,20,2000.0,false,protein,1,4,8,10.0,1.0,0.335038,78.9226,0.0126706,0.00545382
148,149,lsh,20,2000.0,false,protein,1,4,10,5.0,1.0,0.335038,83.0859,0.0120357,0.00522458
149,150,lsh,20,2000.0,false,protein,1,4,10,7.0,1.0,0.335038,71.1948,0.014046,0.00527066
150,151,lsh,20,2000.0,false,protein,1,4,10,9.0,1.0,0.335038,70.8382,0.0141167,0.00532787
151,152,lsh,20,2000.0,false,protein,1,4,10,10.0,1.0,0.335038,70.1715,0.0142508,0.00528741
152,153,lsh,20,2000.0,false,protein,1,4,12,5.0,1.0,0.335038,75.918,0.0131721,0.00553211
153,154,lsh,20,2000.0,false,protein,1,4,12,7.0,1.0,0.335038,65.6108,0.0152414,0.00528049
154,155,lsh,20,2000.0,false,protein,1,4,12,9.0,1.0,0.335038,64.094,0.0156021,0.0054219
155,156,lsh,20,2000.0,false,protein,1,4,12,10.0,1.0,0.335038,64.2304,0.0155689,0.00530864
156,157,lsh,20,2000.0,false,protein,1,4,14,5.0,1.0,0.335038,72.8937,0.0137186,0.00532257
157,158,lsh,20,2000.0,false,protein,1,4,14,7.0,1.0,0.335038,61.4324,0.0162781,0.00526639
158,159,lsh,20,2000.0,false,protein,1,4,14,9.0,1.0,0.335038,60.1527,0.0166243,0.00533513
159,160,lsh,20,2000.0,false,protein,1,4,14,10.0,1.0,0.335038,58.259,0.0171647,0.00534398
160,161,lsh,20,2000.0,false,protein,1,6,8,5.0,1.0,0.335038,115.827,0.00863357,0.00517602
161,162,lsh,20,2000.0,false,protein,1,6,8,7.0,1.0,0.335038,91.9806,0.0108719,0.00594132
162,163,lsh,20,2000.0,false,protein,1,6,8,9.0,1.0,0.335038,93.3721,0.0107098,0.005244
163,164,lsh,20,2000.0,false,protein,1,6,8,10.0,1.0,0.335038,89.7651,0.0111402,0.0055795
164,165,lsh,20,2000.0,false,protein,1,6,10,5.0,1.0,0.335038,103.989,0.00961637,0.00521765
165,166,lsh,20,2000.0,false,protein,1,6,10,7.0,1.0,0.335038,89.9632,0.0111157,0.00538989
166,167,lsh,20,2000.0,false,protein,1,6,10,9.0,1.0,0.335038,84.4791,0.0118372,0.00529071
167,168,lsh,20,2000.0,false,protein,1,6,10,10.0,1.0,0.335038,81.1761,0.0123189,0.00530708
168,169,lsh,20,2000.0,false,protein,1,6,12,5.0,1.0,0.335038,93.9658,0.0106422,0.00539808
169,170,lsh,20,2000.0,false,protein,1,6,12,7.0,1.0,0.335038,81.6728,0.012244,0.00553898
170,171,lsh,20,2000.0,false,protein,1,6,12,9.0,1.0,0.335038,77.3927,0.0129211,0.00528188
171,172,lsh,20,2000.0,false,protein,1,6,12,10.0,1.0,0.335038,74.2944,0.01346,0.00526447
172,173,lsh,20,2000.0,false,protein,1,6,14,5.0,1.0,0.335038,89.3743,0.0111889,0.00529738
173,174,lsh,20,2000.0,false,protein,1,6,14,7.0,1.0,0.335038,75.6266,0.0132229,0.00547097
174,175,lsh,20,2000.0,false,protein,1,6,14,9.0,1.0,0.335038,72.768,0.0137423,0.0053052
175,176,lsh,20,2000.0,false,protein,1,6,14,10.0,1.0,0.335038,69.7582,0.0143352,0.0053439
176,177,lsh,20,2000.0,false,protein,1,8,8,5.0,1.0,0.305871,127.77,0.00782654,0.00524503
177,178,lsh,20,2000.0,false,protein,1,8,8,7.0,1.0,0.318371,111.753,0.00894834,0.00536723
178,179,lsh,20,2000.0,false,protein,1,8,8,9.0,1.00536,0.326705,101.228,0.00987868,0.00551201
179,180,lsh,20,2000.0,false,protein,1,8,8,10.0,1.00536,0.335038,100.724,0.00992814,0.00532253
180,181,lsh,20,2000.0,false,protein,1,8,10,5.0,1.0,0.314205,112.851,0.00886127,0.0052354
181,182,lsh,20,2000.0,false,protein,1,8,10,7.0,1.0,0.326705,102.84,0.0097238,0.0052004
182,183,lsh,20,2000.0,false,protein,1,8,10,9.0,1.00536,0.330871,94.2122,0.0106143,0.00528262
183,184,lsh,20,2000.0,false,protein,1,8,10,10.0,1.00536,0.335038,93.1459,0.0107358,0.00536151
184,185,lsh,20,2000.0,false,protein,1,8,12,5.0,1.0,0.326705,101.266,0.00987501,0.00524209
185,186,lsh,20,2000.0,false,protein,1,8,12,7.0,1.0,0.335038,94.2048,0.0106152,0.00531032
186,187,lsh,20,2000.0,false,protein,1,8,12,9.0,1.00232,0.335038,86.603,0.011547,0.00532141
187,188,lsh,20,2000.0,false,protein,1,8,12,10.0,1.00232,0.335038,84.8743,0.0117821,0.0051982
188,189,lsh,20,2000.0,false,protein,1,8,14,5.0,1.0,0.326705,93.8657,0.0106535,0.00534007
189,190,lsh,20,2000.0,false,protein,1,8,14,7.0,1.0,0.335038,89.1474,0.0112174,0.00522786
190,191,lsh,20,2000.0,false,protein,1,8,14,9.0,1.0,0.335038,80.705,0.0123908,0.00523794
191,192,lsh,20,2000.0,false,protein,1,8,14,10.0,1.0,0.335038,80.2447,0.0124619,0.0053027
192,193,lsh,50,2000.0,false,protein,1,2,8,5.0,1.0,0.298096,81.1209,0.0123273,0.0053702
193,194,lsh,50,2000.0,false,protein,1,2,8,7.0,1.0,0.30643,73.5902,0.0135888,0.00527175
194,195,lsh,50,2000.0,false,protein,1,2,8,9.0,1.0,0.30643,72.9696,0.0137043,0.00528691
195,196,lsh,50,2000.0,false,protein,1,2,8,10.0,1.0,0.30643,68.697,0.0145567,0.00531954
196,197,lsh,50,2000.0,false,protein,1,2,10,5.0,1.0,0.30643,78.2707,0.0127762,0.00526577
197,198,lsh,50,2000.0,false,protein,1,2,10,7.0,1.0,0.30643,65.372,0.0152971,0.00526632
198,199,lsh,50,2000.0,false,protein,1,2,10,9.0,1.0,0.30643,65.3179,0.0153097,0.00534998
199,200,lsh,50,2000.0,false,protein,1,2,10,10.0,1.0,0.30643,62.8116,0.0159206,0.00532654
200,201,lsh,50,2000.0,false,protein,1,2,12,5.0,1.0,0.30643,72.4971,0.0137937,0.00530892
201,202,lsh,50,2000.0,false,protein,1,2,12,7.0,1.0,0.30643,60.0025,0.016666,0.00537295
202,203,lsh,50,2000.0,false,protein,1,2,12,9.0,1.0,0.30643,59.2083,0.0168895,0.00528112
203,204,lsh,50,2000.0,false,protein,1,2,12,10.0,1.0,0.30643,55.0372,0.0181695,0.00546782
204,205,lsh,50,2000.0,false,protein,1,2,14,5.0,1.0,0.30643,66.0443,0.0151413,0.00523472
205,206,lsh,50,2000.0,false,protein,1,2,14,7.0,1.0,0.30643,55.3743,0.0180589,0.0053649
206,207,lsh,50,2000.0,false,protein,1,2,14,9.0,1.0,0.30643,53.6982,0.0186226,0.00530616
207,208,lsh,50,2000.0,false,protein,1,2,14,10.0,1.0,0.30643,51.4812,0.0194246,0.00537549
208,209,lsh,50,2000.0,false,protein,1,4,8,5.0,1.0,0.30643,94.6763,0.0105623,0.00527099
209,210,lsh,50,2000.0,false,protein,1,4,8,7.0,1.0,0.30643,80.4815,0.0124252,0.00532054
210,211,lsh,50,2000.0,false,protein,1,4,8,9.0,1.0,0.304763,82.0626,0.0121858,0.00543247
211,212,lsh,50,2000.0,false,protein,1,4,8,10.0,1.0,0.30643,79.854,0.0125229,0.00536372
212,213,lsh,50,2000.0,false,protein,1,4,10,5.0,1.0,0.30643,83.6189,0.011959,0.00535747
213,214,lsh,50,2000.0,false,protein,1,4,10,7.0,1.0,0.30643,71.1765,0.0140496,0.00525397
214,215,lsh,50,2000.0,false,protein,1,4,10,9.0,1.0,0.30643,71.5505,0.0139761,0.00542103
215,216,lsh,50,2000.0,false,protein,1,4,10,10.0,1.0,0.30643,69.0298,0.0144865,0.00545005
216,217,lsh,50,2000.0,false,protein,1,4,12,5.0,1.0,0.30643,76.0781,0.0131444,0.00537
217,218,lsh,50,2000.0,false,protein,1,4,12,7.0,1.0,0.30643,66.1283,0.0151221,0.00525548
218,219,lsh,50,2000.0,false,protein,1,4,12,9.0,1.0,0.30643,64.7834,0.0154361,0.00528237
219,220,lsh,50,2000.0,false,protein,1,4,12,10.0,1.0,0.30643,64.4104,0.0155254,0.0052846
220,221,lsh,50,2000.0,false,protein,1,4,14,5.0,1.0,0.30643,71.6736,0.0139521,0.00530481
221,222,lsh,50,2000.0,false,protein,1,4,14,7.0,1.0,0.30643,60.8324,0.0164386,0.00533876
222,223,lsh,50,2000.0,false,protein,1,4,14,9.0,1.0,0.30643,59.6106,0.0167755,0.00535038
223,224,lsh,50,2000.0,false,protein,1,4,14,10.0,1.0,0.30643,58.1898,0.0171851,0.00545828
224,225,lsh,50,2000.0,false,protein,1,6,8,5.0,1.0,0.30643,114.142,0.00876098,0.00529493
225,226,lsh,50,2000.0,false,protein,1,6,8,7.0,1.0,0.309763,98.228,0.0101804,0.00536722
226,227,lsh,50,2000.0,false,protein,1,6,8,9.0,1.0,0.309763,95.2221,0.0105018,0.00525799
227,228,lsh,50,2000.0,false,protein,1,6,8,10.0,1.0,0.30643,88.5933,0.0112875,0.00541842
228,229,lsh,50,2000.0,false,protein,1,6,10,5.0,1.0,0.30643,100.688,0.00993167,0.0054527
229,230,lsh,50,2000.0,false,protein,1,6,10,7.0,1.0,0.309763,88.4295,0.0113084,0.00528293
230,231,lsh,50,2000.0,false,protein,1,6,10,9.0,1.0,0.30643,84.8953,0.0117792,0.00535607
231,232,lsh,50,2000.0,false,protein,1,6,10,10.0,1.0,0.30643,82.2563,0.0121571,0.0052208
232,233,lsh,50,2000.0,false,protein,1,6,12,5.0,1.0,0.30643,96.0124,0.0104153,0.00524558
233,234,lsh,50,2000.0,false,protein,1,6,12,7.0,1.0,0.308096,81.9852,0.0121973,0.005267
234,235,lsh,50,2000.0,false,protein,1,6,12,9.0,1.0,0.308096,78.3833,0.0127578,0.00535477
235,236,lsh,50,2000.0,false,protein,1,6,12,10.0,1.0,0.308096,74.7379,0.0133801,0.00533255
236,237,lsh,50,2000.0,false,protein,1,6,14,5.0,1.0,0.30643,91.3983,0.0109411,0.00536508
237,238,lsh,50,2000.0,false,protein,1,6,14,7.0,1.0,0.308096,76.676,0.0130419,0.00552283
238,239,lsh,50,2000.0,false,protein,1,6,14,9.0,1.0,0.30643,73.654,0.013577,0.00523478
239,240,lsh,50,2000.0,false,protein,1,6,14,10.0,1.0,0.308096,70.0908,0.0142672,0.00534091
240,241,lsh,50,2000.0,false,protein,1,8,8,5.0,1.0,0.278046,127.119,0.00786664,0.00545224
241,242,lsh,50,2000.0,false,protein,1,8,8,7.0,1.0,0.293096,111.929,0.00893426,0.00531749
242,243,lsh,50,2000.0,false,protein,1,8,8,9.0,1.00536,0.293096,100.935,0.00990741,0.00527812
243,244,lsh,50,2000.0,false,protein,1,8,8,10.0,1.00536,0.30643,100.152,0.00998478,0.00540528
244,245,lsh,50,2000.0,false,protein,1,8,10,5.0,1.0,0.284763,112.529,0.0088866,0.00531749
245,246,lsh,50,2000.0,false,protein,1,8,10,7.0,1.0,0.299763,103.097,0.00969961,0.00540739
246,247,lsh,50,2000.0,false,protein,1,8,10,9.0,1.00536,0.298096,93.4339,0.0107028,0.00532939
247,248,lsh,50,2000.0,false,protein,1,8,10,10.0,1.00536,0.30643,92.3136,0.0108326,0.00536398
248,249,lsh,50,2000.0,false,protein,1,8,12,5.0,1.0,0.29643,100.048,0.00999524,0.00538945
